type,label,label option,alias,Visual effects and style,occasion tag,user label tag ,target tag,reference url
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,3/4,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Bracelet,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Long,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Asymetic,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Bell Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Bishop Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Balloon Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Dolman Sleeve,Batwing,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Butterfly/Flutter Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Juliet Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Kimono Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Poet Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Puff Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Ruffle sleeves,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Tapered Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Leg-of-Mutton Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Cuffed Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Peasant Sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE SHAPE,Roll-tab sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Regular,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Ribbed,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Single button cuff,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Barrel cuff,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,French cuff,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Button tab cuff,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Banded cuff,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Slit sleeve,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Elasticized cuffs,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Zipper cuffs,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,Raw edge,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",CUFF,None,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Raglan Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Drop Shoulder,Extended shoulders,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Puff Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Cold-Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Off-the-Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,One-Shoulder,Asymmetric Shoulder,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Epaulettes,Shoulder tabs,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Bare Shoulders,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Peasant Style,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Tulle Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Structured,Padded Shoulder,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Saddle Shoulder,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SHOULDER,Regular,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Fitted,,define the waist,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Regular,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Loose,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Natural,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Empire,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Dropped,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Peplum,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Corseted,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",WAIST,Wrap,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Regular,Standard,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Tailored/Slim,Tailored,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Skinny,"Skinny, bodycon",,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Boxy,Boyfriend,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Oversized,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",FIT,Relaxed,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Regular,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Open,Backless,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Racerback,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,T-back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Strappy back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Cut-out back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Low back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Button-up back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Lace back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Zip-up back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Keyhole Back,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,Pleat(s),,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT",BACK,U BACK,,,,,,
"PANTS, LOUNGE/PAJAMAS, ACTIVEWEAR, SHORTS, SKIRT",WAIST,Paperbag Waist,,,,,,
"PANTS, LOUNGE/PAJAMAS, ACTIVEWEAR, SHORTS, SKIRT",WAIST,Elastic Waist,,,,,,
"PANTS, LOUNGE/PAJAMAS, ACTIVEWEAR, SHORTS, SKIRT",WAIST,Drawstring,,,,,,
"TOP, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",LENGTH,Cropped,,,,,,
"TOP, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",LENGTH,Waist Length,,,,,,
"TOP, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",LENGTH,Hip Length,,,,,,
"TOP, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",LENGTH,Tunic Length,,,,,,
DRESS,LENGTH,Mini,,,,,,
DRESS,LENGTH,Above-the-knee,Short Dress,,,,,
DRESS,LENGTH,Knee-length,Midi Dress,,,,,
DRESS,LENGTH,Maxi,,,,,,
DRESS,LENGTH,Tea Length,Cocktail Length ,,,,,
DRESS,LENGTH,Floor Length,Long Dress,,,,,
DRESS,LENGTH,Ankle Length,,,,,,
DRESS,LENGTH,Ballerina Length,,,,,,
DRESS,LENGTH,Cocktail Length,,,,,,
DRESS,LENGTH,Full Length,Sweep,,,,,
DRESS,LENGTH,High-low,,,,,,
DRESS,LENGTH,Asymmetric,,,,,,
"JACKET, OUTERWEAR",LENGTH,Cropped,Bolero,,,,,
"JACKET, OUTERWEAR",LENGTH,Waist Length,,,,,,
"JACKET, OUTERWEAR",LENGTH,Hip Length,,,,,,
"JACKET, OUTERWEAR",LENGTH,Car Coat Length,Thigh Length,,,,,
"JACKET, OUTERWEAR",LENGTH,Knee Length,,,,,,
"JACKET, OUTERWEAR",LENGTH,3/4 Length,,,,,,
"JACKET, OUTERWEAR",LENGTH,Full Length,Floor Length,,,,,
"JACKET, OUTERWEAR",LENGTH,Trench Length,,,,,,
"JACKET, OUTERWEAR",LENGTH,Mid-thigh Length,,,,,,
DRESS,Cut,A-Line,,,,,,
DRESS,Cut,Circle,,,,,,
DRESS,Cut,Shift,,,,,,
DRESS,Cut,Sheath,,,,,,
DRESS,Cut,Bodycon,,,,,,
DRESS,Cut,Shirt dress,,,,,,
DRESS,Cut,Tunic,Kaftan or Caftan,,,,,
DRESS,Cut,Slip Dress,,,,,,
DRESS,Cut,Fit and Flare,,,,,,
DRESS,Cut,Mermaid,Fishtail,,,,,
DRESS,Cut,Ball Gown,,,,,,
DRESS,Cut,Pinafore (or Jumper Dress),Jumper Dress,,,,,
DRESS,Cut,Pleated,,,,,,
"PANTS, DENIM",Cut,Bootcut,,,,,,
"PANTS, DENIM",Cut,Straight Leg,,,,,,
"PANTS, DENIM",Cut,Skinny,,,,,,
"PANTS, DENIM",Cut,Slim Fit,,,,,,
"PANTS, DENIM",Cut,Flared,,,,,,
"PANTS, DENIM",Cut,Wide Leg,Palazzo,,,,,
"PANTS, DENIM",Cut,Boyfriend,,,,,,
"PANTS, DENIM",Cut,Mom,,,,,,
"PANTS, DENIM, SHORTS",RISE,Low,,,,,,
"PANTS, DENIM, SHORTS",RISE,Regular,,,,,,
"PANTS, DENIM, SHORTS",RISE,High,,create curves,,,,
"PANTS, DENIM",Cut,Culottes,,,,,,
"PANTS, DENIM",Cut,Cigarette,,,,,,
"PANTS, DENIM",Cut,Harem (or Drop-Crotch),,,,,,
"PANTS, DENIM",Cut,Bell Bottoms,,,,,,
"PANTS, DENIM",Cut,Sailor Pants,,,,,,
"PANTS, DENIM",Cut,Tapered,,,,,,
"TOP, DRESS",Cut,Wrap,,,,,,
"TOP, DRESS",Cut,Halter,,,,,,
"TOP, DRESS",Cut,Peplum,,,,,,
"TOP, DRESS",Cut,Off-the-Shoulder,,,,,,
"TOP, DRESS",Cut,One-Shoulder,Asymmetrical,,,,,
"TOP, DRESS",Cut,Bardot,,,,,,
"TOP, DRESS",Cut,Trapeze,,,,,,
"TOP, DRESS",Cut,Ruffle,,,,,,
"PANTS, DENIM",Design,Cargos,,,,,,
"PANTS, DENIM",Design,Flat Front,,,,,,
"PANTS, DENIM",Design,Pleated,,,,,,
"PANTS, DENIM",Design,Stirrup,,,,,,
"PANTS, DENIM",Design,Capris,Cropped,,,,,
"PANTS, DENIM",Design,Jogger,,,,,,
"PANTS, DENIM",Design,Cuffed,,,,,,
"PANTS, DENIM",Design,Tuxedo,,,,,,
"PANTS, DENIM",LENGTH,Full-length,,,,,,
"PANTS, DENIM",LENGTH,Ankle-length,,,,,,
"PANTS, DENIM",LENGTH,Cropped,Capri,,,,,
"PANTS, DENIM",LENGTH,Clam Diggers,,,,,,
"PANTS, DENIM",LENGTH,Culottes,,,,,,
SKIRT,LENGTH,Micro-mini,,,,,,
SKIRT,LENGTH,Mini,,,,,,
SKIRT,LENGTH,Mid-thigh,,,,,,
SKIRT,LENGTH,Knee-length,,,,,,
SKIRT,LENGTH,Above-the-knee,,,,,,
SKIRT,LENGTH,Below-the-knee (Midi),,,,,,
SKIRT,LENGTH,Calf-length,,,,,,
SKIRT,LENGTH,Tea-length,,,,,,
SKIRT,LENGTH,Ankle-length (Maxi),,,,,,
SKIRT,LENGTH,Floor-length,,,,,,
SKIRT,CUT,A-line,,,,,,
SKIRT,CUT,Flounce,,,,,,
SKIRT,CUT,Pencil,,,,,,
SKIRT,CUT,Pleated,,,,,,
SKIRT,CUT,Circle,,,,,,
SKIRT,CUT,Wrap,,,,,,
SKIRT,CUT,Tulip,,,,,,
SKIRT,CUT,Tiered,,,,,,
SKIRT,CUT,Bubble,,,,,,
SKIRT,CUT,High-low (or asymmetrical),,,,,,
SKIRT,CUT,Mermaid (or fishtail),,,,,,
SKIRT,WAIST,Regular,,,,,,
SKIRT,WAIST,High,,,,,,
SKIRT,WAIST,Low,,,,,,
ALL,COLOR,Orange,,,,,,
ALL,COLOR,Yellow,,,,,,
ALL,COLOR,Black,,,,,,
ALL,COLOR,White,,,,,,
ALL,COLOR,Green,,,,,,
ALL,COLOR,Blue,,"This list encompasses many common jacket types, though there are undoubtedly specialized jackets and variations based on fashion trends, cultural influences, and specific use-cases.",,,,
ALL,COLOR,Purple,,,,,,
ALL,COLOR,Brown,,,,,,
ALL,COLOR,Grey,,,,,,
ALL,COLOR,Red,,,,,,
ALL,COLOR,Pink,,,,,,
ALL,COLOR,Pastel,,,,,,
ALL,COLOR,Bold,,,,,,
ALL,COLOR,Neutral,,,,,,
ALL,Saturation,Vivid,,,,,,
ALL,Saturation,Moderate,,,,,,
ALL,Saturation,Soft,,,,,,
ALL,Brightness,Dark,,,,,,
ALL,Brightness,Light,,,,,,
ALL,Brightness,Medium,,,,,,
ALL,MATERIAL,Cotton,,,,,,
ALL,MATERIAL,Linen,"Each type can have variations based on fabric, detailing, button placement, lapel design, and other factors. The choice of blazer often depends on the occasion, personal style, and current fashion trends.",,,,,
ALL,MATERIAL,Silk,,,,,,
ALL,MATERIAL,Wool,,,,,,
ALL,MATERIAL,Cashmere,,,,,,
ALL,MATERIAL,Mohair,,,,,,
ALL,MATERIAL,Hemp,,,,,,
ALL,MATERIAL,Jute,,,,,,
ALL,MATERIAL,Bamboo,,,,,,
ALL,MATERIAL,Leather,,,,,,
ALL,MATERIAL,Suede,,,,,,
ALL,MATERIAL,Denim,,,,,,
ALL,MATERIAL,Polyester,,,,,,
ALL,MATERIAL,Nylon,,,,,,
ALL,MATERIAL,Acrylic,,,,,,
ALL,MATERIAL,Rayon,,,,,,
ALL,MATERIAL,Viscose,,,,,,
ALL,MATERIAL,Elastane,"Lycra, Spandex",,,,,
ALL,MATERIAL,Latex,,,,,,
ALL,MATERIAL,PVC,,,,,,
ALL,MATERIAL,Teflon,,,,,,
ALL,MATERIAL,Kevlar,,,,,,
ALL,MATERIAL,Gore-Tex,,,,,,
ALL,MATERIAL,Neoprene,,,,,,
ALL,MATERIAL,Rubber,,,,,,
ALL,MATERIAL,Fleece,,,,,,
ALL,MATERIAL,Satin,,,,,,
ALL,MATERIAL,Velvet,,,,,,
ALL,MATERIAL,Chiffon,,,,,,
ALL,MATERIAL,Tulle,,,,,,
ALL,MATERIAL,Organza,,,,,,
ALL,MATERIAL,Brocade,,,,,,
ALL,MATERIAL,Tencel,Lyocell,,,,,
ALL,MATERIAL,Modal,,,,,,
ALL,MATERIAL,Polyurethane,,,,,,
ALL,MATERIAL,Polyamide,,,,,,
ALL,MATERIAL,Shearling,,,,,,
ALL,MATERIAL,Recycled,,,,,,
ALL,MATERIAL,Water-resistent,,,,,,
ALL,MATERIAL,Organic,,,,,,
ALL,PATTERN,Solid,,,,,,
ALL,PATTERN,Vertical Stripes,,,,,,
ALL,PATTERN,Horizontal Stripes,,,,,,
ALL,PATTERN,Diagonal Stripes,,,,,,
ALL,PATTERN,Sheer,,,,,,
ALL,PATTERN,Check,"Plaid, Tartan, Gingham, Windowpane",,,,,
ALL,PATTERN,Polka dot,Pin dot,,,,,
ALL,PATTERN,Houndstooth,Puppytooth,,,,,
ALL,PATTERN,Paisley,,,,,,
ALL,PATTERN,Argyle,,,,,,
ALL,PATTERN,Chevron,,,,,,
ALL,PATTERN,Floral,,,,,,
ALL,PATTERN,Ikat,,,,,,
ALL,PATTERN,Damask,,,,,,
ALL,PATTERN,Geometric,,,,,,
ALL,PATTERN,Camouflage,Camo,,,,,
ALL,PATTERN,"Animal print (e.g., leopard, zebra, snake)",,,,,,
ALL,PATTERN,Toile,,,,,,
ALL,PATTERN,Fleur-de-lis,,,,,,
ALL,PATTERN,Jacquard,,,,,,
ALL,PATTERN,Herringbone,Chevron,,,,,
ALL,PATTERN,Fair Isle,,,,,,
ALL,PATTERN,Lace,,,,,,
